total_fugas,avg_fugas,std_fugas,alcaldia,total_fugas_1,total_fugas_ADD,total_fugas_MUL,PTJS3_ADD,PTJS3_MUL
545.0,17.580645161290324,10.115249852074465,GUSTAVO A. MADERO,545.0,403.7034900707847,420.0238030796715,454.86977433785796,456.6804053820491
425.0,15.178571428571429,11.06898761280754,GUSTAVO A. MADERO,545.0000000000001,429.2926147374923,442.13472052502294,274.98555802861523,326.4441349158144
367.0,11.838709677419354,10.040241611281235,GUSTAVO A. MADERO,540.0000000000001,441.78824397990087,450.1832472740686,477.16406289184755,529.2818065925987
427.0,14.233333333333333,7.523220758073808,GUSTAVO A. MADERO,532.7916666666667,447.41770085007914,451.0742031335521,370.7624344970318,468.25494023816424
394.0,12.709677419354838,9.515578624505174,GUSTAVO A. MADERO,528.3836805555557,457.77759141359394,457.7884561938874,573.2570541654563,632.8214680241457
219.0,7.3,7.456309524432172,GUSTAVO A. MADERO,522.7843605324075,463.7856414188421,460.129199552214,438.1791795187299,562.4028761960669
228.0,7.354838709677419,10.429280534778913,GUSTAVO A. MADERO,510.1266788435572,451.78199228532225,442.80260815910185,525.8872586536052,493.57511324757974
472.0,15.225806451612904,8.163780486267191,GUSTAVO A. MADERO,498.371400558409,440.04337325991173,426.29290892082037,477.54168896273546,534.48935458798
557.0,18.566666666666666,8.637062612642833,GUSTAVO A. MADERO,497.27259220180866,451.48119062464104,436.1093063140943,415.07220099767926,553.9904193685954
463.0,14.935483870967742,7.252289219600331,GUSTAVO A. MADERO,499.76123419339996,470.28270300967506,454.55554174391665,385.4260018091309,478.58357380577394
519.0,17.3,11.083227464709129,GUSTAVO A. MADERO,498.22951610200835,478.9108255484785,462.0072537291916,386.1209334540424,533.9616138317863
537.0,17.322580645161292,8.607698479749367,GUSTAVO A. MADERO,499.09495293109137,492.07932302707616,474.9011423636304,477.13339286735584,606.7950253938799
593.0,19.129032258064516,8.739725150079074,GUSTAVO A. MADERO,500.67432989229593,506.0063860490357,488.99369835224843,566.9185971366063,637.8800978804026
509.0,18.178571428571427,10.277820677731144,GUSTAVO A. MADERO,504.52123281345024,524.3378299330069,508.36642909526864,378.65657780538606,432.19522481970466
525.0,16.93548387096774,11.32824047493981,GUSTAVO A. MADERO,504.7078481128898,533.3769785736564,517.645652653173,575.7873230217834,673.6115680756126
1002.0,33.4,17.47036900307055,GUSTAVO A. MADERO,505.5533544415194,542.9800414988778,527.829311555423,475.8472814543875,587.0340573357687
513.0,16.548387096774192,9.028985582287818,GUSTAVO A. MADERO,526.2386313397894,597.8403072494896,589.3797844409638,733.3612051182367,851.0706518064093
621.0,20.7,10.10001707065816,GUSTAVO A. MADERO,525.6870217006316,603.2908133420284,595.8557519370999,595.9532690676472,743.0775370283317
791.0,25.516129032258064,11.330992800697668,GUSTAVO A. MADERO,529.6583957964386,618.0703391783119,613.0077759754249,715.5446556672823,680.0805410582005
579.0,18.677419354838708,9.696690489626494,GUSTAVO A. MADERO,540.5476293049204,648.0278719145543,647.5498304301234,718.6328689168051,796.5350610684012
502.0,16.733333333333334,6.684688285272872,GUSTAVO A. MADERO,542.1498114172155,655.777150494086,657.3548836976009,648.2402550901107,808.5630995647549
440.0,14.193548387096774,5.443156895520035,GUSTAVO A. MADERO,540.4769026081648,654.8097833723172,657.3919874908952,589.7685665475473,663.432629412646
476.0,15.866666666666667,7.26699356008376,GUSTAVO A. MADERO,536.2903649994913,646.8119817959343,649.4895097052081,567.2049031036689,706.8190508888115
615.0,19.838709677419356,9.643985255738585,GUSTAVO A. MADERO,533.7782664578459,641.5256012186466,644.561463219029,632.834556399437,764.6884249163003
661.0,21.322580645161292,13.196936757632288,GUSTAVO A. MADERO,537.1625053554358,648.9928102054979,653.8780200265761,713.3726168087054,783.65916032178
359.0,12.821428571428571,4.6352399868237395,GUSTAVO A. MADERO,542.3224009656259,660.0041198641218,667.139255165312,515.7837563727267,516.7893190076735
814.0,26.258064516129032,18.240920557792553,GUSTAVO A. MADERO,534.6839675920583,640.7534033299002,646.4814042383496,676.1500486760424,745.430602137274
81.0,2.7,3.843041180789165,GUSTAVO A. MADERO,546.3221356090559,665.3067636638049,674.7875741267978,598.6134092215411,659.8129332383887
1049.0,33.83870967741935,10.633584451142045,GUSTAVO A. MADERO,526.9337132920119,617.6630758231739,622.4930069827775,723.688116917625,769.7692204754836
726.0,24.2,9.374948275719381,GUSTAVO A. MADERO,548.6864752381781,664.2656138205261,675.520591177566,643.4023117451528,710.0634142097643
1237.0,39.903225806451616,12.678997959117739,GUSTAVO A. MADERO,556.0745387699207,678.1537213914933,691.8579528941772,764.3135782061954,645.6905217822095
1071.0,34.54838709677419,12.63286378109999,GUSTAVO A. MADERO,584.4464329878406,740.6875061089274,762.9287490355392,809.2908982952256,803.5938678455798
708.0,23.6,7.845930199132233,GUSTAVO A. MADERO,604.7194982800139,785.1073367556968,814.0264718914548,785.6173394789213,863.0571463147759
810.0,26.129032258064516,10.12173218207197,GUSTAVO A. MADERO,609.0228525183467,792.4149685692175,823.4541678016893,736.7275849500026,718.5992165160463
542.0,18.066666666666666,8.997828601403224,GUSTAVO A. MADERO,617.3969003300822,808.3457708991043,842.4309781380074,743.4221556889074,804.5789522253382
649.0,20.93548387096774,6.796741787410434,GUSTAVO A. MADERO,614.2553628163288,796.8744970460903,830.4282314457807,799.6697272620728,868.3247685207191
